date,continent,arrivals,year,month_sin,month_cos,quarter_sin,quarter_cos,lag_1,lag_2,lag_3,lag_6,lag_12,seasonal_strength,trend_strength,seasonal_peak_year,seasonal_trough_year,spikiness,linearity,curvature,stl_e_acf1,stl_e_acf10
2021-06-01,America_Do_Sul,45230.47236622461,2021,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,44650.01111786848,50547.44554482453,62692.15530408083,61797.03827117147,45230.47236622461,0.999923844133162,0.8636364473608744,8.0,3.0,5623274.524308871,0.9999999999999996,1.0089706847793423e-12,-0.22873954389317838,0.001263521319052159
2021-07-01,America_Do_Sul,51412.97579151301,2021,-0.4999999999999997,-0.8660254037844388,-1.0,-1.8369701987210297e-16,45230.47236622461,44650.01111786848,50547.44554482453,70455.40514184465,51412.97579151301,1.0,1.0,7.0,2.0,2.4200529285464956e-47,1.0,1.1155520951433573e-12,-0.15039269317666337,0.17849985789340075
2021-08-01,America_Do_Sul,46711.864876391424,2021,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,51412.97579151301,45230.47236622461,44650.01111786848,65986.07341518554,46711.864876391424,0.9749349073587628,0.0,6.0,4.0,314158929902.8826,1.0,1.7337242752546445e-12,0.8528628399617442,0.20014512864147482
2021-09-01,America_Do_Sul,47657.40853939359,2021,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,46711.864876391424,51412.97579151301,45230.47236622461,62692.15530408083,47657.40853939359,1.0,1.0,5.0,3.0,2.1991743367325867e-47,0.9999999999999998,1.2789769243681803e-12,0.05014749262536871,0.23574358070735746
2021-10-01,America_Do_Sul,50855.51644682775,2021,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,47657.40853939359,46711.864876391424,51412.97579151301,50547.44554482453,50855.51644682775,0.8880883024681572,0.024883528698286805,5.0,20.0,3297274453089.521,0.9999999999999996,9.663381206337363e-13,0.26460705963537495,0.29050781799385783
2021-11-01,America_Do_Sul,51365.26514282839,2021,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,50855.51644682775,47657.40853939359,46711.864876391424,44650.01111786848,51365.26514282839,0.9940025127108943,0.7776727665173102,3.0,1.0,11757508190.989874,0.9999999999999998,1.3926637620897964e-12,2.4742676163205594e-15,0.24999999999999628
2021-12-01,America_Do_Sul,61797.03827117147,2021,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,51365.26514282839,50855.51644682775,47657.40853939359,45230.47236622461,61797.03827117147,0.9353771968802349,0.298136322078391,3.0,6.0,2429506884773.444,1.0,4.263256414560601e-13,-0.045454545454541556,0.003311410417978968
2022-01-01,America_Do_Sul,70455.40514184465,2022,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,61797.03827117147,51365.26514282839,50855.51644682775,51412.97579151301,70455.40514184465,0.8779524329461197,9.992007221626409e-16,1.0,17.0,4323213561535.69,0.0007078872623989515,7.799382034496495e-13,0.7995963004730152,0.23252835812852873
2022-02-01,America_Do_Sul,65986.07341518554,2022,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,70455.40514184465,61797.03827117147,51365.26514282839,46711.864876391424,65986.07341518554,0.9995085029656445,0.8667953667953907,1.0,4.0,78665137.65421401,1.0,1.2363443602225743e-12,-0.045454545454555496,0.0033114104179810555
2022-03-01,America_Do_Sul,62692.15530408083,2022,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,65986.07341518554,70455.40514184465,61797.03827117147,47657.40853939359,62692.15530408083,1.0,0.725,23.0,15.0,2.426625247236119e-47,0.12986312399355876,1.222843051867562e-12,0.4728205781866158,0.3128505017709563
2022-04-01,America_Do_Sul,50547.44554482453,2022,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,62692.15530408083,65986.07341518554,70455.40514184465,50855.51644682775,50547.44554482453,1.0,0.5473549488054608,22.0,14.0,1.9302274056346505e-46,0.02082828838745185,7.449150185947592e-13,0.6129032258064515,0.8796242724662682
2022-05-01,America_Do_Sul,44650.01111786848,2022,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,50547.44554482453,62692.15530408083,65986.07341518554,51365.26514282839,44650.01111786848,1.0,0.8291301169590642,21.0,13.0,3.509235664362853e-47,0.003207847295864264,8.13390087689401e-13,0.10538516211551516,0.15845739758389166
2022-06-01,America_Do_Sul,45230.47236622461,2022,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,44650.01111786848,50547.44554482453,62692.15530408083,61797.03827117147,45230.47236622461,1.0,0.5799342105263158,20.0,24.0,3.881642714854468e-46,0.32506710175567605,5.825991461063371e-13,0.6854350208391126,1.1286128876257182
2022-07-01,America_Do_Sul,51412.97579151301,2022,-0.4999999999999997,-0.8660254037844388,-1.0,-1.8369701987210297e-16,45230.47236622461,44650.01111786848,50547.44554482453,70455.40514184465,51412.97579151301,1.0,0.654320987654321,19.0,11.0,5.091606585616379e-47,0.16834782608695656,1.386331733258438e-12,0.6588330632090765,0.796336894132653
2022-08-01,America_Do_Sul,46711.864876391424,2022,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,51412.97579151301,45230.47236622461,44650.01111786848,65986.07341518554,46711.864876391424,1.0,0.8367956064947468,18.0,10.0,1.1134627588612075e-46,0.037926421404682276,7.449150185947592e-13,0.33137297650854103,0.23793022010053283
2022-09-01,America_Do_Sul,47657.40853939359,2022,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,46711.864876391424,51412.97579151301,45230.47236622461,62692.15530408083,47657.40853939359,1.0,0.8459663120567376,5.0,21.0,1.494893011752751e-47,0.011642908054169638,9.812113677198881e-13,-0.028753993610223638,0.1482268034493269
2022-10-01,America_Do_Sul,50855.51644682775,2022,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,47657.40853939359,46711.864876391424,51412.97579151301,50547.44554482453,50855.51644682775,1.0,0.7803398058252428,4.0,8.0,8.487054201216115e-48,0.0004881769641495042,8.13390087689401e-13,0.11292111137442168,0.386725546381368
2022-11-01,America_Do_Sul,51365.26514282839,2022,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,50855.51644682775,47657.40853939359,46711.864876391424,44650.01111786848,51365.26514282839,1.0,0.48116760828625227,15.0,19.0,2.210758309229372e-46,0.3737357859531773,9.859349026603134e-13,0.7938413133642508,1.2226115364226222
2022-12-01,America_Do_Sul,61797.03827117147,2022,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,51365.26514282839,50855.51644682775,47657.40853939359,45230.47236622461,61797.03827117147,1.0,0.8964354527938343,2.0,18.0,1.0414447511754457e-47,0.0014731457800511512,1.3507370564768059e-12,0.2556585003017041,0.24424737846283273
2023-01-01,America_Do_Sul,70455.40514184465,2023,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,61797.03827117147,51365.26514282839,50855.51644682775,51412.97579151301,70455.40514184465,1.0,0.8440148305084746,1.0,17.0,8.945802045752697e-47,0.13048605039345043,1.4164575329474475e-12,0.7791317384256373,0.9965518536640906
2023-02-01,America_Do_Sul,65986.07341518554,2023,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,70455.40514184465,61797.03827117147,51365.26514282839,46711.864876391424,65986.07341518554,1.0,0.8693693693693694,12.0,4.0,2.42885079430564e-47,0.04448342660352993,8.141757379969712e-13,0.13490664244603864,0.22294183477988908
2023-03-01,America_Do_Sul,62692.15530408083,2023,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,65986.07341518554,70455.40514184465,61797.03827117147,47657.40853939359,62692.15530408083,1.0,0.725,23.0,15.0,2.426625247236119e-47,0.12986312399355876,1.222843051867562e-12,0.4728205781866158,0.3128505017709563
2023-04-01,America_Do_Sul,50547.44554482453,2023,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,62692.15530408083,65986.07341518554,70455.40514184465,50855.51644682775,50547.44554482453,1.0,0.5473549488054608,22.0,14.0,1.9302274056346505e-46,0.02082828838745185,7.449150185947592e-13,0.6129032258064515,0.8796242724662682
2023-05-01,America_Do_Sul,44650.01111786848,2023,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,50547.44554482453,62692.15530408083,65986.07341518554,51365.26514282839,44650.01111786848,1.0,0.8291301169590642,21.0,13.0,3.509235664362853e-47,0.003207847295864264,8.13390087689401e-13,0.10538516211551516,0.15845739758389166
2023-06-01,America_Do_Sul,33395.0,2023,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,44650.01111786848,50547.44554482453,62692.15530408083,61797.03827117147,45230.47236622461,1.0,0.5799342105263158,20.0,24.0,3.881642714854468e-46,0.32506710175567605,5.825991461063371e-13,0.6854350208391126,1.1286128876257182
2023-07-01,America_Do_Sul,50447.0,2023,-0.4999999999999997,-0.8660254037844388,-1.0,-1.8369701987210297e-16,33395.0,44650.01111786848,50547.44554482453,70455.40514184465,51412.97579151301,1.0,1.0,19.0,24.0,1.0319416651886564e-46,0.9999999999999998,8.100187187665142e-13,0.6277182682696753,0.8463010204081631
2023-08-01,America_Do_Sul,42539.0,2023,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,50447.0,33395.0,44650.01111786848,65986.07341518554,46711.864876391424,0.9985118797110147,0.7022406042524185,18.0,23.0,292741273.68172723,1.0,1.1084466677857563e-12,0.6908492797077791,0.2517361111111179
2023-09-01,America_Do_Sul,48861.0,2023,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,42539.0,50447.0,33395.0,62692.15530408083,47657.40853939359,1.0,1.0,17.0,22.0,2.2788419669863265e-47,1.0,1.2221335055073723e-12,0.04354196239199644,0.2695560430215434
2023-10-01,America_Do_Sul,54631.0,2023,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,48861.0,42539.0,50447.0,50547.44554482453,50855.51644682775,1.0,1.0,16.0,21.0,2.291423262763625e-47,1.0,1.0373923942097463e-12,0.06882591093117407,0.3166322314049587
2023-11-01,America_Do_Sul,67445.0,2023,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,54631.0,48861.0,42539.0,44650.01111786848,51365.26514282839,0.9973648076936749,0.5469156255845113,15.0,20.0,675998608.1165066,0.9999999999999996,1.2221335055073723e-12,-1.8352966347018822e-14,0.11409807632965005
2023-12-01,America_Do_Sul,68215.0,2023,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,67445.0,54631.0,48861.0,33395.0,61797.03827117147,0.8720820564605696,0.0,14.0,19.0,6002634538382.099,0.9999999999999996,1.0231815394945443e-12,-0.42914712388025555,0.001263521319050656
2024-01-01,America_Do_Sul,113242.0,2024,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,68215.0,67445.0,54631.0,50447.0,70455.40514184465,1.0,1.0,1.0,18.0,1.3089555089300997e-47,1.0,9.379164112033322e-13,0.11914893617021276,0.06700810529446759
2024-02-01,America_Do_Sul,95566.0,2024,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,113242.0,68215.0,67445.0,42539.0,65986.07341518554,0.9955930217848029,0.8636484197818257,24.0,17.0,38030923830.501274,1.0,1.3642420526593924e-12,0.11420556544133961,0.0012635213190502685
2024-03-01,America_Do_Sul,88312.0,2024,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,95566.0,113242.0,68215.0,48861.0,62692.15530408083,0.9870616761209584,0.8575475617776598,23.0,16.0,253910435993.2352,0.9999999999999993,1.0231815394945443e-12,-0.08598299083434895,0.20232700748549126
2024-04-01,America_Do_Sul,54861.0,2024,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,88312.0,95566.0,113242.0,54631.0,50547.44554482453,1.0,1.0,22.0,15.0,5.617614635494178e-47,1.0,1.3642420526593924e-12,0.3272037137050881,0.1478760560146924
2024-05-01,America_Do_Sul,45903.0,2024,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,54861.0,88312.0,95566.0,67445.0,44650.01111786848,0.999986469998579,0.999894484462436,21.0,14.0,25674.047190579277,0.9996598299919899,2.3863976590720313,0.9517594871533188,2.3736028839357495
2024-06-01,America_Do_Sul,48792.0,2024,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,45903.0,54861.0,88312.0,68215.0,33395.0,0.9878819794682827,0.8951374839671186,20.0,13.0,453473143181.36896,0.9999999999999996,1.1368683772161603e-12,-0.5900787768628785,0.0012635213190507746
2024-07-01,America_Do_Sul,62593.0,2024,-0.4999999999999997,-0.8660254037844388,-1.0,-1.8369701987210297e-16,48792.0,45903.0,54861.0,113242.0,50447.0,0.990863504526639,0.950241136089781,19.0,12.0,294675315587.644,1.0,9.094947017729282e-13,-0.04545454545454205,0.025365600714135513
2024-08-01,America_Do_Sul,48059.0,2024,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,62593.0,48792.0,45903.0,95566.0,42539.0,0.987497896603583,0.9366140567988671,18.0,22.0,538966624035.7534,0.9999999999999998,1.3642420526593924e-12,-0.052962251447740825,0.022637311638429098
2024-09-01,America_Do_Sul,71341.0,2024,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,48059.0,62593.0,48792.0,88312.0,48861.0,0.9901479435926975,0.9490915861161289,17.0,21.0,432473546057.1465,0.9999999999999996,1.3642420526593924e-12,-0.2021568437902698,0.0012635213190506668
2024-10-01,America_Do_Sul,81603.0,2024,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,71341.0,48059.0,62593.0,54861.0,54631.0,0.9789588412187225,0.9177961736285376,16.0,20.0,1054675933503.1543,1.0,6.821210263296962e-13,-0.1838601458095085,0.03852271141715981
2024-11-01,America_Do_Sul,78739.0,2024,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,81603.0,71341.0,48059.0,45903.0,67445.0,0.9672412977666203,0.8996304473162002,15.0,19.0,2291862228095.945,1.0,1.1368683772161603e-12,-0.09520828697265914,0.027289104261866173
2024-12-01,America_Do_Sul,99840.0,2024,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,78739.0,81603.0,71341.0,48792.0,68215.0,0.96726178527948,0.8979308081406534,14.0,21.0,2850418115904.692,1.0,6.821210263296962e-13,-0.054009238087933675,0.16902084330780878
2002-01-01,Asia,2357.0,2002,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,2093.0,1876.0,1822.0,2415.0,3574.0,0.9523918898756082,0.6653974210423659,13.0,21.0,8880129.17505128,0.9999999999999993,5.3290705182007514e-14,-0.045454545454546434,0.0033114104179796386
2002-02-01,Asia,1995.0,2002,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,2357.0,2093.0,1876.0,2262.0,3385.0,1.0,1.0,12.0,20.0,4.761232473703976e-52,1.0,6.394884621840902e-14,0.589159293942891,0.35574440426993775
2002-03-01,Asia,1783.0,2002,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,1995.0,2357.0,2093.0,1747.0,3167.0,0.9926436611210233,0.29155571769582556,11.0,4.0,148569.22997015817,1.0,6.217248937900877e-14,-0.045454545454541445,0.02205747216970975
2002-04-01,Asia,1342.0,2002,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,1783.0,1995.0,2357.0,1822.0,2766.0,0.8558259114907508,0.4475165099216035,10.0,3.0,74914999.51971869,1.0,6.750155989720952e-14,-0.04545454545454527,0.02883125918924608
2002-05-01,Asia,1401.0,2002,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,1342.0,1783.0,1995.0,1876.0,1992.0,1.0,1.0,9.0,2.0,2.0684838631287087e-52,1.0,4.973799150320701e-14,-0.04495934914473246,0.17864615594199376
2002-06-01,Asia,1578.0,2002,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,1401.0,1342.0,1783.0,2093.0,1882.0,1.0,1.0,8.0,1.0,4.307357114586447e-52,0.9999999999999993,5.684341886080802e-14,-0.06109738640968621,0.18212186842811678
2002-07-01,Asia,2014.0,2002,-0.4999999999999997,-0.8660254037844388,-1.0,-1.8369701987210297e-16,1578.0,1401.0,1342.0,2357.0,2415.0,1.0,1.0,7.0,3.0,1.6385609825752897e-52,1.0,4.973799150320701e-14,0.2723942221919382,0.46549946944334825
