date,arrivals,continent,year,month_sin,month_cos,quarter_sin,quarter_cos,lag_1,lag_2,lag_3,lag_6,lag_12,seasonal_strength,trend_strength,seasonal_peak_year,seasonal_trough_year,spikiness,linearity,curvature,stl_e_acf1,stl_e_acf10,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr
2018-10-01,3783.0,Asia,2018,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,3453.0,3785.0,3486.0,2413.0,3807.0,1.0,1.0,4.0,20.0,2.321776697672772e-52,1.0,8.126832540256146e-14,0.03163310333220899,0.20057740590877937,-0.23808367870530794,-0.061193709958492604,0.9688745584625077,4.0,0.5064848738708838,1.131049014793654,0.9565217391304348,5.0,0.047619047619047616,0.0,0.10438661069385202,1.0,0.3333333333333333,-0.125,0.0,0.06904946004783974,6.0,2.07710622366748,0.0,0.0,0.981747704246875,1.2335453023168335
2018-11-01,4068.0,Asia,2018,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,3783.0,3453.0,3785.0,2356.0,4323.0,0.8899356215901401,0.0,3.0,8.0,518509508.98883486,0.9999999999999998,1.1546319456101628e-13,0.06063608237432127,0.0009637919805404592,-0.2430783112610319,-0.06621299120755042,0.9652716604049988,4.0,0.5791552587813735,1.1611270453070996,0.9565217391304348,5.0,0.013774104683195593,0.0,0.0994944659562753,1.0,0.5,-0.20833333333333337,-0.08333333333333337,0.06679980820239416,6.0,2.039582475086813,0.0,0.0,0.981747704246875,1.0619532712890307
2018-12-01,3676.0,Asia,2018,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,4068.0,3783.0,3453.0,2378.0,5207.0,1.0,1.0,2.0,7.0,3.6730220190093426e-52,1.0,8.881784197001252e-14,0.3187586375877398,0.2767719518937051,-0.3011767544415627,-0.12128725658121786,0.9333235153700791,4.0,0.6215310627085233,1.2225601489251279,0.9565217391304348,5.0,0.054421768707482984,0.0,0.10048633699096893,1.0,0.3333333333333333,-0.29166666666666663,0.0,0.09049453568869327,6.0,2.1028657720503716,0.0,0.0,0.7853981633975,1.0484666911848144
2019-01-01,2997.0,Asia,2019,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,3676.0,4068.0,3783.0,3486.0,3429.0,0.651972943575033,0.17653775534687122,14.0,17.0,2069235913.5901785,1.0,6.750155989720952e-14,-0.5459622400160831,0.2571744706524023,-0.33830708493577766,-0.15553578143195512,1.1808750369843475,5.0,0.6299561554428038,-0.019854549293587744,0.9565217391304348,4.0,0.03401360544217687,0.0,0.0940872890735343,2.0,0.3333333333333333,-0.375,0.33333333333333326,0.12949004276597573,5.0,2.1256156913444824,0.0,0.0,0.5890486225481251,1.0643209213311235
2019-02-01,5411.0,Asia,2019,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,2997.0,3676.0,4068.0,3785.0,5798.0,0.9001868318774316,0.0,13.0,16.0,136107393.0005109,1.0,6.394884621840902e-14,0.012094662949967284,0.07028826252477326,0.4719755114210191,0.08410291842989759,0.9689441034129104,4.0,0.37781618205825923,0.0021470356656473006,0.9565217391304348,4.0,0.03401360544217687,0.0,0.105632239955526,1.0,0.3333333333333333,-0.08333333333333337,0.29166666666666674,0.0933552296085846,4.0,2.0425921041755934,0.0,0.0,0.7853981633975,1.1673099056002842
2019-03-01,5970.0,Asia,2019,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,5411.0,2997.0,3676.0,3453.0,4098.0,0.9993539260214513,0.9867726763639334,12.0,4.0,13934.115185052515,1.0,3.907985046680551e-14,0.029377899680602865,0.001263521319050988,0.44254850191421,0.0658555946897994,0.8087931407912134,6.0,0.2910187954726029,0.8244142134478827,0.9565217391304348,4.0,0.03401360544217687,0.0,0.10477823378349753,2.0,0.3333333333333333,0.0,0.20833333333333326,0.14808240970419398,4.0,2.1403895206310386,0.0,0.0,0.981747704246875,1.1636382787338795
2019-04-01,2717.0,Asia,2019,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,5970.0,5411.0,2997.0,3783.0,2413.0,0.8273930835052048,0.0,11.0,3.0,1748627382.4781287,1.0,9.947598300641403e-14,-0.2407958749418556,0.0012635213190506282,-0.29414374708547525,-0.11692685920235324,0.9584726271927296,6.0,0.41836912197899456,0.6066846977563211,0.9565217391304348,4.0,0.054421768707482984,0.0,0.09323537094579774,2.0,0.3333333333333333,0.41666666666666674,0.125,0.2611511387986834,4.0,2.1403895206310386,0.0,0.0,0.981747704246875,1.0671750705228826
2019-05-01,3466.0,Asia,2019,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,2717.0,5970.0,5411.0,4068.0,2356.0,0.8431662146341129,0.0,10.0,2.0,1180299299.57862,1.0,8.526512829121202e-14,-0.053700151871074436,0.005298094260963326,-0.24422698809414223,-0.0705708361452515,0.8307105650558175,2.0,0.46206329121237755,-0.7308712509003902,0.9565217391304348,4.0,0.02203856749311295,6.0,0.13179461053297276,2.0,0.5,0.33333333333333326,0.04166666666666674,0.2001334856766102,4.0,2.1403895206310386,0.0,0.0,0.981747704246875,1.1500742981369054
2019-06-01,2583.0,Asia,2019,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,3466.0,2717.0,5970.0,3676.0,2378.0,0.990603215683237,0.24980424690166536,22.0,12.0,2428776.3740105308,0.9999999999999998,1.0125233984581428e-13,-0.2066657561532069,0.2547712988896047,-0.26854198059619705,-0.09296867337651626,0.8014606271970788,2.0,0.4113488477318753,-0.7327507490794932,0.9565217391304348,4.0,0.030303030303030304,6.0,0.1337880332304838,2.0,0.5,0.25,0.0,0.16336911702632584,4.0,2.16313943992515,0.0,0.0,1.1780972450962501,1.1959776273233462
2019-07-01,2765.0,Asia,2019,-0.4999999999999997,-0.8660254037844388,-1.0,-1.8369701987210297e-16,2583.0,3466.0,2717.0,2997.0,3486.0,0.830284094635425,0.0,21.0,11.0,1063544876.7094485,1.0,7.815970093361102e-14,-0.03902365400629393,0.03962277845697101,-0.2782525159524469,-0.10108468778963109,0.8073457415919452,4.0,0.41896007386010425,-0.8415006733600514,0.9565217391304348,4.0,0.03856749311294765,6.0,0.13473763623651122,1.0,0.5,0.16666666666666674,0.0,0.12712876238710796,4.0,2.16313943992515,0.0,0.0,0.981747704246875,1.247338379045203
