ds,simulation,set,value
2014-11-01,sim_0,train,126921.18844847099
2014-12-01,sim_0,train,171265.08356779546
2015-01-01,sim_0,train,131130.83917812488
2015-02-01,sim_0,train,150072.6241351032
2015-03-01,sim_0,train,122062.51242600831
2015-04-01,sim_0,train,94059.82397938624
2015-05-01,sim_0,train,73856.58192087027
2015-06-01,sim_0,train,116847.01717300064
2015-07-01,sim_0,train,117277.37142447064
2015-08-01,sim_0,train,131329.25590538734
2015-09-01,sim_0,train,149012.6954040271
2015-10-01,sim_0,train,125984.17766304675
2015-11-01,sim_0,train,108625.08323612456
2015-12-01,sim_0,train,142539.5269197995
2016-01-01,sim_0,train,134901.3611172781
2016-02-01,sim_0,train,153992.38767265642
2016-03-01,sim_0,train,141104.826935325
2016-04-01,sim_0,train,109861.53349773963
2016-05-01,sim_0,train,95663.31632426228
2016-06-01,sim_0,train,87333.64705943207
2016-07-01,sim_0,train,120937.27336551038
2016-08-01,sim_0,train,121288.08785555765
2016-09-01,sim_0,train,99909.16042447246
2016-10-01,sim_0,train,117409.58334186497
2016-11-01,sim_0,train,131715.79795715067
2016-12-01,sim_0,train,163861.63938688755
2017-01-01,sim_0,train,141368.95344415464
2017-02-01,sim_0,train,104325.96949855682
2017-03-01,sim_0,train,145362.79645995362
2017-04-01,sim_0,train,104751.56991508849
2017-05-01,sim_0,train,66736.35169467574
2017-06-01,sim_0,train,75036.23360638993
2017-07-01,sim_0,train,100937.36693919617
2017-08-01,sim_0,train,84196.58462767013
2017-09-01,sim_0,train,104022.46874460645
2017-10-01,sim_0,train,109730.74969019309
2017-11-01,sim_0,train,70612.52889421245
2017-12-01,sim_0,train,138362.02334500506
2018-01-01,sim_0,train,139496.29461622206
2018-02-01,sim_0,train,147969.38510779635
2018-03-01,sim_0,train,137939.69885556577
2018-04-01,sim_0,train,82767.34043088698
2018-05-01,sim_0,train,63093.34948940783
2018-06-01,sim_0,train,61814.22488524979
2018-07-01,sim_0,train,85411.14167940008
2018-08-01,sim_0,train,103096.51172154912
2018-09-01,sim_0,train,98698.01995762615
2018-10-01,sim_0,train,106002.71471022953
2018-11-01,sim_0,train,111461.84488716107
2018-12-01,sim_0,train,148671.43174424337
2019-01-01,sim_0,train,137739.1733690375
2019-02-01,sim_0,train,140083.06576250397
2019-03-01,sim_0,train,131076.2578317386
2019-04-01,sim_0,train,93172.5942710146
2019-05-01,sim_0,train,72780.17599751403
2019-06-01,sim_0,train,89432.26469683391
2019-07-01,sim_0,train,98076.40368619893
2019-08-01,sim_0,train,95246.42932727071
2019-09-01,sim_0,train,83410.99601351949
2019-10-01,sim_0,train,92834.95723584719
2019-11-01,sim_0,train,95796.23867532985
2019-12-01,sim_0,train,133210.4080973293
2020-01-01,sim_0,train,133966.74323170233
2020-02-01,sim_0,train,144770.14874019066
2020-03-01,sim_0,train,129570.79320782078
2020-04-01,sim_0,train,86762.46852465662
2020-05-01,sim_0,train,70221.7924251295
2020-06-01,sim_0,train,88171.41601951665
2020-07-01,sim_0,train,110825.06429962021
2020-08-01,sim_0,train,91328.4160090292
2020-09-01,sim_0,train,85761.84815997264
2020-10-01,sim_0,train,96511.28965562765
2020-11-01,sim_0,train,108774.96859907357
2020-12-01,sim_0,train,137169.1110237801
2021-01-01,sim_0,train,139044.7428776654
2021-02-01,sim_0,train,147462.47977857653
2021-03-01,sim_0,train,134628.7563569405
2021-04-01,sim_0,train,101793.85773336404
2021-05-01,sim_0,train,74271.164389604
2021-06-01,sim_0,train,86385.6477279085
2021-07-01,sim_0,train,91446.19540459718
2021-08-01,sim_0,train,96755.6523977905
2021-09-01,sim_0,train,86295.60773544175
